"","name","value"
"371","mirror","Kate Middleton's Christmas sacrifice sees her put 'duty before self, says expert"
"372","telegraph","

Way of the World: There was no Christmas party in No10... and anyway, the guests followed all the rules

"
"373","nytimes","Did Elon Musk Sacrifice Safety in His Push for Self-Driving Cars?"
"374","wsj","Omicron Variant Pushes Back Many Office Holiday Parties"
"375","washingtonpost","A man was executed for killing his wife. Before he died, he also confessed to killing his sister-in-law."
"376","latimes","Brutal, brazen crimes shake L.A., leaving city at a crossroads"
"377","tampabay","Scientology members fuel another land-buying surge in Clearwater"
"378","startribune","
                        Chief Arradondo announces retirement from ...
                    "
"379","guardian","RB Leipzig v Manchester City: Champions League buildup"
"380","times","Voters in Trump counties far more likely to die of Covid"
"381","dailymail","Young people who suffer from myocarditis as a side effect of the COVID-19 vaccines often suffer mild cases that quickly resolve, study finds"
"382","independent","Every home in Wales to be given free tree in new climate initiative"
"383","mirror","Pub owner's brutal response to Tripadvisor review from guest with 'untrained palate'"
"384","telegraph","

Why the Government must now exempt gender-critical views from hate crime laws

"
"385","nytimes","Why New York Is Unearthing a Brook It Buried a Century Ago"
"386","wsj","Millennials, Feeling Their Mortality During Covid-19, Start Writing Their Wills"
"387","washingtonpost","Washington Post editorial page editor dies at 66"
"388","latimes","Lincoln Riley jetted for USC, and Oklahoma is left to furiously wonder why"
"389","startribune","
                        Bond set at $1 million after Michigan parents ...
                    "
"390","guardian","Carlsen wins Game 9 after Nepomniachtchi blunder"
"391","times","Police officers jailed for sharing photos of murdered sisters"
"392","dailymail","Quarantine hotel chaos forces ministers to DOUBLE number of rooms available after families were sent to different lodgings 100 MILES apart for their 10-day isolation"
"393","independent","Is the UK doing enough to meet its net-zero promises?"
"394","mirror","Teen buys £1,130 worth of PrettyLittleThing clothes for £15.08 in Black Friday sale"
"395","telegraph","

The problem with gender-neutral loos

"
"396","nytimes","This Chemical Is in Short Supply, and the Whole World Feels It"
"397","wsj","Advertising Market Keeps Growing Much Faster Than Expected, Forecasters Say2 min read"
"398","washingtonpost","The trial of Elizabeth Holmes"
"399","latimes","Armed robbers break into Palisades home during holiday party"
"400","startribune","
                        'Immersive Van Gogh' turns a Minneapolis ...
                    "
"401","guardian","From Nos 100-71"
"402","times","New missiles can hit tennis ball flying at speed of sound"
"403","dailymail","Time to head back to the office? Working from home increases your risk of making MISTAKES, scientists say after examining the quality of chess played online"
"404","independent","How the drugs case of Shah Rukh Khan’s son was a warning to Bollywood"
"405","mirror","Kerry Katona admits she's 'gutted' Atomic Kitten bandmates have snubbed her from reunion"
"406","telegraph","

My dyslexia wasn't spotted until university, and I'm one of the lucky ones

"
"407","nytimes","Justice Department Closes Emmett Till Investigation Without Charges"
"408","wsj","New Balance Taps Sports Agent Rich Paul for Latest Product Endorsement3 min read"
"409","washingtonpost","Instagram touts teen safety features. Mental health advocates aren’t buying it."
"410","latimes","Meet the formerly incarcerated fire crew protecting California from wildfires"
"411","startribune","
                        Morning forecast: Coating of snow, high 23
                    "
"412","guardian","A Native American designed Washington’s logo. Now his family want it back"
"413","times","Viagra linked to lower risk of dementia"
"414","dailymail","Mariah Carey's ex-husband Nick Cannon breaks down in tears on air as he reveals his 5-month-old son died from brain tumor"
"415","independent","The fascinating ways music affects our health"
"416","mirror","Roberto Firmino's awkward tunnel reaction to Mo Salah and Sadio Mane bust up surfaces"
"417","telegraph","

The BBC has questions to answer on anti-Semitism

"
"418","nytimes","The Best Movies of 2021"
"419","wsj","Innovid Shares Rise in Market Debut3 min read"
"420","washingtonpost","An angry rift between Trump and Bannon signals the far-right’s future"
"421","latimes","The ‘Mighty Mo’ begins her second century as a swimming champion"
"422","guardian","Premier League regulation and the great Chinese famine"
"423","times","‘After Afghanistan, this is heaven’"
"424","dailymail","Physicist who says her 'naturally loud' style is part of her German heritage and she was a victim of racist criticism was wrongly sacked for shouting, tribunal rules "
"425","independent","Can UK tourists skip hotel quarantine on return from South Africa? "
"426","mirror","'I fell down the QAnon rabbit hole and it ended my faith in humanity'"
"427","telegraph","

An idea for getting housebound folk vaccinated without using GPs’ time

"
"428","nytimes","The Morning"
"429","wsj","CIO Remote-Work Checklist Zooms Beyond Videoconferencing4 min read"
"430","washingtonpost","France detains suspect in murder of Jamal Khashoggi at Paris airport"
"431","latimes","Photos: As Roe vs. Wade challenged, demonstrators gather outside Supreme Court"
"432","guardian"," Is MI6 fit for the future? "
"433","times","Care home bosses on pandemic support sent £5m to Caymans"
"434","dailymail","Prince Harry's 'concerns' about Saudi billionaire 'did NOT reach Charles': 'Clarence House staff don't remember discussions about tycoon' after Duke of Sussex 'severed ties' in 2015 "
"435","independent","The FCA must focus on chasing the bad apples out"
"436","mirror","Boris Johnson warns 'early signs' show Omicron Covid variant more transmissible"
"437","telegraph","

Nonsensical Covid rules are making a return

"
"438","nytimes","Listen to ‘The Daily’"
"439","wsj","Former Unilever CIO Moves Into Health Care3 min read"
"440","washingtonpost","‘I spontaneously burst into tears’: How 13 songwriters felt watching the new Beatles documentary"
"441","latimes","Los Museos Vaticanos están ahora adornados con artesanía tradicional mexicana"
"442","guardian"," More from the series "
"443","times","Cladding failed test 15 years before Grenfell fire"
"444","dailymail","Grieving widow, 35, faces High Court battle to use her dead husband's frozen sperm for IVF baby - because of a paperwork error made 11 years ago"
"445","independent","Why the smartest stripper in the world objects to being objectified"
"446","mirror","Michelle Heaton blasts PM's drug crackdown after sharing images of her addiction battle"
"447","telegraph","

It's time to get serious on drugs

"
"448","nytimes","Listen to ‘The Book Review Podcast’"
"449","wsj","Twitter CEO Announcement Spotlights Rare Executive Move4 min read"
"450","washingtonpost","China tests the sporting world’s tolerance for repression in run-up to the Winter Games"
"451","latimes","Daddy Yankee armonizará especial de fin de año"
"452","guardian","How the murder of a rapper shocked a nation and put police on the back foot"
"453","times","Whitehall bluster can teach us all a lesson"
"454","dailymail","Apple's sweetheart deal with China: CEO Tim Cook signed 'secret $275billion deal with Beijing in 2016 promising to help develop their economy in return for quashing regulatory actions against iPhone maker' "
"455","independent","Just what is fuelling Eric Zemmour’s bid for the French presidency?"
"456","mirror","Tommy Fury's wife Paris says she was refused cinema entry for being a gypsy"
"457","telegraph","

Air Commodore Sir John Clements, RAF apprentice who rose to become an expert in airborne radar systems

"
"458","nytimes","Virtual Event: New York’s Resurgence"
"459","wsj","Children’s Finance App Greenlight Names CFO As It Prepares for IPO3 min read"
"460","washingtonpost","Report: Biden is approving more oil, gas drilling permits on public lands than Trump"
"461","latimes","El programa de estudios independiente del LAUSD está abrumado; los alumnos con discapacidades pagan por ello"
"462","guardian","Germans and Austrians on new Covid measures"
"463","times","Foiling the Grade escape"
"464","dailymail","Has an Iranian warship sunk before ever leaving dock? Satellite images and video show new intelligence vessel on its side in dock 'before entering service'"
"465","independent","The anxiety plaguing young women after spate of drink spiking reports"
"466","mirror","This Morning's Josie Gibson 'not looking for a relationship' and will adopt next child"
"467","telegraph","

Sir Martin Wood, engineer who developed superconducting magnets and the first MRI body scanner

"
